customer_code,customer_name,division_id,field_team_code,hierarchy_type,city,state
111,Sibal Enterprises,10,WSSTTY3,Sales Hierarchy,Ahmedabad,Gujarat
112,Bhagat Hardware Store,30,WSSTTY9,MDI Hierarchy,Kolkata,West Bengal
113,Chaudhari Building Materials,10,WSSTTY2,Sales Hierarchy,Delhi,Delhi
114,Bhat Traders,40,WSSTTY12,MDI Hierarchy,Hyderabad,Telangana
115,Rau Agencies,40,WSSTTY12,Sales Hierarchy,Mumbai,Maharashtra
116,Nori Paints & Hardware,10,WSSTTY3,Sales Hierarchy,Chennai,Tamil Nadu
117,Chopra Enterprises,10,WSSTTY3,Sales Hierarchy,Delhi,Delhi
118,Kothari Traders,20,WSSTTY4,Sales Hierarchy,Surat,Gujarat
119,Handa Agencies,10,WSSTTY2,Sales Hierarchy,Pune,Maharashtra
120,Gupta Building Materials,30,WSSTTY9,MDI Hierarchy,Chennai,Tamil Nadu
121,Yadav Traders,10,WSSTTY3,MDI Hierarchy,Kolkata,West Bengal
122,Sen Enterprises,20,WSSTTY6,Sales Hierarchy,Mumbai,Maharashtra
123,Dey Paints & Hardware,30,WSSTTY9,MDI Hierarchy,Bengaluru,Karnataka
124,Sami Enterprises,30,WSSTTY8,Sales Hierarchy,Pune,Maharashtra
125,Goswami Agencies,30,WSSTTY7,Sales Hierarchy,Pune,Maharashtra
126,Mallick Agencies,40,WSSTTY12,Sales Hierarchy,Surat,Gujarat
127,Shere Building Materials,40,WSSTTY12,Sales Hierarchy,Kolkata,West Bengal
128,Krish Hardware Store,40,WSSTTY10,Sales Hierarchy,Mumbai,Maharashtra
129,Borra Paints & Hardware,40,WSSTTY11,Sales Hierarchy,Chennai,Tamil Nadu
130,Savant Building Materials,40,WSSTTY11,Sales Hierarchy,Ahmedabad,Gujarat
131,Chaudhari Hardware Store,20,WSSTTY6,Sales Hierarchy,Surat,Gujarat
132,Bedi Paints & Hardware,10,WSSTTY3,MDI Hierarchy,Jaipur,Rajasthan
133,Zachariah Paints & Hardware,10,WSSTTY3,MDI Hierarchy,Lucknow,Uttar Pradesh
134,Aurora Traders,10,WSSTTY3,MDI Hierarchy,Surat,Gujarat
135,Chander Building Materials,10,WSSTTY3,MDI Hierarchy,Ahmedabad,Gujarat
136,Khalsa Traders,40,WSSTTY12,MDI Hierarchy,Mumbai,Maharashtra
137,Ganesan Paints & Hardware,10,WSSTTY2,Sales Hierarchy,Ahmedabad,Gujarat
138,Ray Traders,30,WSSTTY7,Sales Hierarchy,Jaipur,Rajasthan
139,Sunder Hardware Store,10,WSSTTY3,MDI Hierarchy,Ahmedabad,Gujarat
140,Srivastava Hardware Store,10,WSSTTY3,Sales Hierarchy,Kolkata,West Bengal
141,Kala Hardware Store,40,WSSTTY10,Sales Hierarchy,Ahmedabad,Gujarat
142,Rattan Paints & Hardware,40,WSSTTY12,Sales Hierarchy,Chennai,Tamil Nadu
143,Bhargava Traders,40,WSSTTY12,MDI Hierarchy,Lucknow,Uttar Pradesh
144,Gala Paints & Hardware,10,WSSTTY1,Sales Hierarchy,Mumbai,Maharashtra
145,Raghavan Hardware Store,10,WSSTTY1,Sales Hierarchy,Bengaluru,Karnataka
146,Agate Agencies,30,WSSTTY9,MDI Hierarchy,Ahmedabad,Gujarat
147,Ramakrishnan Building Materials,10,WSSTTY2,Sales Hierarchy,Hyderabad,Telangana
148,Lanka Agencies,20,WSSTTY6,Sales Hierarchy,Pune,Maharashtra
149,Sha Enterprises,30,WSSTTY9,MDI Hierarchy,Pune,Maharashtra
150,Mangal Traders,10,WSSTTY1,Sales Hierarchy,Delhi,Delhi
151,Sampath Building Materials,40,WSSTTY12,MDI Hierarchy,Jaipur,Rajasthan
152,Sur Enterprises,10,WSSTTY2,Sales Hierarchy,Pune,Maharashtra
153,Dubey Paints & Hardware,10,WSSTTY3,Sales Hierarchy,Jaipur,Rajasthan
154,Gupta Hardware Store,40,WSSTTY12,MDI Hierarchy,Lucknow,Uttar Pradesh
155,Minhas Agencies,40,WSSTTY12,Sales Hierarchy,Indore,Madhya Pradesh
156,Kalla Traders,10,WSSTTY2,Sales Hierarchy,Jaipur,Rajasthan
157,Bhardwaj Agencies,40,WSSTTY12,MDI Hierarchy,Delhi,Delhi
158,Bhat Hardware Store,10,WSSTTY3,MDI Hierarchy,Mumbai,Maharashtra
159,Murthy Enterprises,10,WSSTTY2,Sales Hierarchy,Delhi,Delhi
160,Bhandari Agencies,40,WSSTTY10,Sales Hierarchy,Hyderabad,Telangana
161,Bedi Enterprises,30,WSSTTY9,Sales Hierarchy,Pune,Maharashtra
162,Sood Enterprises,30,WSSTTY7,Sales Hierarchy,Indore,Madhya Pradesh
163,Thakkar Hardware Store,20,WSSTTY5,Sales Hierarchy,Pune,Maharashtra
164,Wali Building Materials,20,WSSTTY6,Sales Hierarchy,Chennai,Tamil Nadu
165,Dugar Hardware Store,30,WSSTTY9,Sales Hierarchy,Ahmedabad,Gujarat
166,Bhandari Traders,30,WSSTTY7,Sales Hierarchy,Ahmedabad,Gujarat
167,Trivedi Agencies,20,WSSTTY6,Sales Hierarchy,Lucknow,Uttar Pradesh
168,Buch Building Materials,40,WSSTTY12,Sales Hierarchy,Lucknow,Uttar Pradesh
169,Grewal Traders,40,WSSTTY10,Sales Hierarchy,Indore,Madhya Pradesh
170,Biswas Building Materials,20,WSSTTY5,Sales Hierarchy,Hyderabad,Telangana
171,Bir Traders,20,WSSTTY5,Sales Hierarchy,Jaipur,Rajasthan
172,Keer Building Materials,30,WSSTTY7,Sales Hierarchy,Delhi,Delhi
173,Raval Enterprises,30,WSSTTY9,Sales Hierarchy,Lucknow,Uttar Pradesh
174,Dar Agencies,10,WSSTTY3,MDI Hierarchy,Pune,Maharashtra
175,Koshy Agencies,30,WSSTTY9,MDI Hierarchy,Pune,Maharashtra
176,Baral Building Materials,30,WSSTTY9,Sales Hierarchy,Kolkata,West Bengal
177,Bumb Paints & Hardware,20,WSSTTY5,Sales Hierarchy,Indore,Madhya Pradesh
178,Saini Enterprises,40,WSSTTY12,Sales Hierarchy,Hyderabad,Telangana
179,Virk Enterprises,20,WSSTTY6,Sales Hierarchy,Surat,Gujarat
180,Mutti Enterprises,10,WSSTTY1,Sales Hierarchy,Chennai,Tamil Nadu
181,Lal Enterprises,30,WSSTTY9,Sales Hierarchy,Hyderabad,Telangana
182,Jayaraman Hardware Store,20,WSSTTY5,Sales Hierarchy,Indore,Madhya Pradesh
183,Murthy Enterprises,10,WSSTTY3,Sales Hierarchy,Chennai,Tamil Nadu
184,Khare Agencies,20,WSSTTY5,Sales Hierarchy,Chennai,Tamil Nadu
185,Lanka Traders,40,WSSTTY12,Sales Hierarchy,Bengaluru,Karnataka
186,Randhawa Agencies,20,WSSTTY6,MDI Hierarchy,Ahmedabad,Gujarat
187,Deep Hardware Store,10,WSSTTY2,Sales Hierarchy,Delhi,Delhi
188,Mital Hardware Store,40,WSSTTY12,MDI Hierarchy,Pune,Maharashtra
189,Shankar Enterprises,30,WSSTTY8,Sales Hierarchy,Pune,Maharashtra
190,Mutti Agencies,40,WSSTTY10,Sales Hierarchy,Pune,Maharashtra
191,Bora Traders,10,WSSTTY3,Sales Hierarchy,Indore,Madhya Pradesh
192,Andra Building Materials,10,WSSTTY2,Sales Hierarchy,Ahmedabad,Gujarat
193,Shanker Building Materials,10,WSSTTY1,Sales Hierarchy,Mumbai,Maharashtra
194,Chaudhry Building Materials,40,WSSTTY11,Sales Hierarchy,Jaipur,Rajasthan
195,Borah Agencies,10,WSSTTY1,Sales Hierarchy,Chennai,Tamil Nadu
196,Yogi Enterprises,20,WSSTTY6,Sales Hierarchy,Pune,Maharashtra
197,Kala Agencies,10,WSSTTY3,MDI Hierarchy,Chennai,Tamil Nadu
198,Toor Agencies,10,WSSTTY3,MDI Hierarchy,Hyderabad,Telangana
199,Lanka Traders,40,WSSTTY11,Sales Hierarchy,Mumbai,Maharashtra
200,Deo Traders,20,WSSTTY6,Sales Hierarchy,Lucknow,Uttar Pradesh
201,Palla Hardware Store,10,WSSTTY3,Sales Hierarchy,Chennai,Tamil Nadu
202,Biswas Building Materials,30,WSSTTY7,Sales Hierarchy,Lucknow,Uttar Pradesh
203,Konda Paints & Hardware,10,WSSTTY2,Sales Hierarchy,Surat,Gujarat
204,Pingle Enterprises,30,WSSTTY9,MDI Hierarchy,Kolkata,West Bengal
205,Mane Hardware Store,10,WSSTTY2,Sales Hierarchy,Surat,Gujarat
206,Dugar Building Materials,30,WSSTTY9,MDI Hierarchy,Chennai,Tamil Nadu
207,Sarma Hardware Store,10,WSSTTY3,MDI Hierarchy,Chennai,Tamil Nadu
208,Mittal Building Materials,10,WSSTTY1,Sales Hierarchy,Bengaluru,Karnataka
209,Wadhwa Enterprises,40,WSSTTY11,Sales Hierarchy,Surat,Gujarat
210,Anand Building Materials,40,WSSTTY11,Sales Hierarchy,Jaipur,Rajasthan
211,Mistry Agencies,10,WSSTTY3,Sales Hierarchy,Lucknow,Uttar Pradesh
212,Chawla Building Materials,10,WSSTTY3,MDI Hierarchy,Kolkata,West Bengal
213,Desai Building Materials,30,WSSTTY9,MDI Hierarchy,Mumbai,Maharashtra
214,Lalla Agencies,30,WSSTTY7,Sales Hierarchy,Kolkata,West Bengal
215,D’Alia Hardware Store,30,WSSTTY9,MDI Hierarchy,Bengaluru,Karnataka
216,Chhabra Traders,30,WSSTTY9,Sales Hierarchy,Ahmedabad,Gujarat
217,Dugal Traders,10,WSSTTY3,MDI Hierarchy,Indore,Madhya Pradesh
218,Magar Traders,10,WSSTTY3,Sales Hierarchy,Chennai,Tamil Nadu
219,Manda Paints & Hardware,10,WSSTTY3,Sales Hierarchy,Mumbai,Maharashtra
220,Kade Building Materials,10,WSSTTY1,Sales Hierarchy,Ahmedabad,Gujarat
221,Oza Enterprises,40,WSSTTY11,Sales Hierarchy,Kolkata,West Bengal
222,Jani Paints & Hardware,10,WSSTTY1,Sales Hierarchy,Pune,Maharashtra
223,Lalla Agencies,40,WSSTTY10,Sales Hierarchy,Indore,Madhya Pradesh
224,Tiwari Hardware Store,10,WSSTTY3,MDI Hierarchy,Mumbai,Maharashtra
225,Suresh Building Materials,10,WSSTTY1,Sales Hierarchy,Indore,Madhya Pradesh
226,Krishnamurthy Enterprises,30,WSSTTY8,Sales Hierarchy,Surat,Gujarat
227,Behl Enterprises,10,WSSTTY3,Sales Hierarchy,Hyderabad,Telangana
228,Chanda Paints & Hardware,10,WSSTTY1,Sales Hierarchy,Chennai,Tamil Nadu
229,Sampath Traders,10,WSSTTY1,Sales Hierarchy,Chennai,Tamil Nadu
230,Malhotra Traders,10,WSSTTY3,Sales Hierarchy,Indore,Madhya Pradesh
231,Basu Building Materials,10,WSSTTY1,Sales Hierarchy,Lucknow,Uttar Pradesh
232,Aggarwal Hardware Store,40,WSSTTY12,Sales Hierarchy,Pune,Maharashtra
233,Nath Paints & Hardware,40,WSSTTY11,Sales Hierarchy,Ahmedabad,Gujarat
234,De Hardware Store,30,WSSTTY9,Sales Hierarchy,Lucknow,Uttar Pradesh
235,Lala Hardware Store,10,WSSTTY1,Sales Hierarchy,Kolkata,West Bengal
236,Edwin Enterprises,40,WSSTTY11,Sales Hierarchy,Bengaluru,Karnataka
237,Sathe Enterprises,20,WSSTTY4,Sales Hierarchy,Kolkata,West Bengal
238,Sane Building Materials,30,WSSTTY9,MDI Hierarchy,Delhi,Delhi
239,Andra Enterprises,10,WSSTTY3,Sales Hierarchy,Delhi,Delhi
240,Choudhury Paints & Hardware,30,WSSTTY9,Sales Hierarchy,Bengaluru,Karnataka
241,Borra Hardware Store,40,WSSTTY12,MDI Hierarchy,Jaipur,Rajasthan
242,Dixit Enterprises,10,WSSTTY3,Sales Hierarchy,Chennai,Tamil Nadu
243,Banik Traders,40,WSSTTY12,MDI Hierarchy,Pune,Maharashtra
244,Pingle Agencies,40,WSSTTY12,Sales Hierarchy,Kolkata,West Bengal
245,Divan Enterprises,10,WSSTTY3,Sales Hierarchy,Lucknow,Uttar Pradesh
246,Sani Agencies,10,WSSTTY2,Sales Hierarchy,Jaipur,Rajasthan
247,Datta Hardware Store,40,WSSTTY11,Sales Hierarchy,Bengaluru,Karnataka
248,Barman Enterprises,20,WSSTTY4,Sales Hierarchy,Surat,Gujarat
249,Morar Hardware Store,10,WSSTTY3,MDI Hierarchy,Lucknow,Uttar Pradesh
250,Patla Paints & Hardware,40,WSSTTY12,MDI Hierarchy,Mumbai,Maharashtra
251,Baral Paints & Hardware,30,WSSTTY9,Sales Hierarchy,Bengaluru,Karnataka
252,Parmar Traders,10,WSSTTY3,Sales Hierarchy,Ahmedabad,Gujarat
253,Kade Traders,40,WSSTTY11,Sales Hierarchy,Bengaluru,Karnataka
254,Krish Hardware Store,20,WSSTTY4,Sales Hierarchy,Pune,Maharashtra
255,Chauhan Agencies,10,WSSTTY1,Sales Hierarchy,Delhi,Delhi
256,Pandya Paints & Hardware,10,WSSTTY3,MDI Hierarchy,Hyderabad,Telangana
257,Ray Enterprises,40,WSSTTY12,MDI Hierarchy,Ahmedabad,Gujarat
258,Dubey Agencies,40,WSSTTY12,Sales Hierarchy,Jaipur,Rajasthan
259,Khalsa Building Materials,10,WSSTTY1,Sales Hierarchy,Surat,Gujarat
260,Gaba Agencies,10,WSSTTY2,Sales Hierarchy,Jaipur,Rajasthan
261,Goel Hardware Store,40,WSSTTY12,Sales Hierarchy,Chennai,Tamil Nadu
262,Sachar Agencies,20,WSSTTY4,Sales Hierarchy,Hyderabad,Telangana
263,Bakshi Enterprises,20,WSSTTY6,MDI Hierarchy,Mumbai,Maharashtra
264,Gola Enterprises,20,WSSTTY6,MDI Hierarchy,Mumbai,Maharashtra
265,Natarajan Traders,20,WSSTTY6,Sales Hierarchy,Pune,Maharashtra
266,Sabharwal Enterprises,10,WSSTTY2,Sales Hierarchy,Lucknow,Uttar Pradesh
267,Kothari Enterprises,40,WSSTTY12,MDI Hierarchy,Lucknow,Uttar Pradesh
268,Loke Agencies,30,WSSTTY9,Sales Hierarchy,Indore,Madhya Pradesh
269,Dutta Traders,10,WSSTTY2,Sales Hierarchy,Hyderabad,Telangana
270,Chokshi Enterprises,30,WSSTTY8,Sales Hierarchy,Pune,Maharashtra
271,Raja Traders,10,WSSTTY3,Sales Hierarchy,Mumbai,Maharashtra
272,Barad Building Materials,20,WSSTTY5,Sales Hierarchy,Ahmedabad,Gujarat
273,Singhal Agencies,40,WSSTTY11,Sales Hierarchy,Delhi,Delhi
274,Kapadia Hardware Store,20,WSSTTY6,Sales Hierarchy,Chennai,Tamil Nadu
275,Iyengar Hardware Store,30,WSSTTY8,Sales Hierarchy,Hyderabad,Telangana
276,Sharma Enterprises,10,WSSTTY1,Sales Hierarchy,Surat,Gujarat
277,Palla Enterprises,10,WSSTTY2,Sales Hierarchy,Lucknow,Uttar Pradesh
278,Mody Hardware Store,40,WSSTTY12,Sales Hierarchy,Jaipur,Rajasthan
279,Kari Traders,20,WSSTTY6,MDI Hierarchy,Hyderabad,Telangana
280,Kapoor Traders,20,WSSTTY6,MDI Hierarchy,Indore,Madhya Pradesh
281,Bajwa Traders,40,WSSTTY12,Sales Hierarchy,Surat,Gujarat
282,Hans Hardware Store,10,WSSTTY3,Sales Hierarchy,Ahmedabad,Gujarat
283,Rastogi Agencies,10,WSSTTY1,Sales Hierarchy,Jaipur,Rajasthan
284,Narasimhan Building Materials,10,WSSTTY1,Sales Hierarchy,Pune,Maharashtra
285,Mallick Paints & Hardware,20,WSSTTY4,Sales Hierarchy,Jaipur,Rajasthan
286,Boase Traders,40,WSSTTY12,Sales Hierarchy,Chennai,Tamil Nadu
287,Mallick Agencies,20,WSSTTY4,Sales Hierarchy,Indore,Madhya Pradesh
288,Panchal Paints & Hardware,20,WSSTTY6,MDI Hierarchy,Ahmedabad,Gujarat
289,Upadhyay Paints & Hardware,10,WSSTTY2,Sales Hierarchy,Pune,Maharashtra
290,Ratta Paints & Hardware,20,WSSTTY6,MDI Hierarchy,Bengaluru,Karnataka
291,Yadav Building Materials,10,WSSTTY3,MDI Hierarchy,Ahmedabad,Gujarat
292,Narula Agencies,10,WSSTTY3,Sales Hierarchy,Ahmedabad,Gujarat
293,Bala Paints & Hardware,30,WSSTTY7,Sales Hierarchy,Pune,Maharashtra
294,D’Alia Enterprises,40,WSSTTY11,Sales Hierarchy,Kolkata,West Bengal
295,Lal Building Materials,10,WSSTTY2,Sales Hierarchy,Delhi,Delhi
296,Gokhale Enterprises,10,WSSTTY3,MDI Hierarchy,Lucknow,Uttar Pradesh
297,Lanka Building Materials,30,WSSTTY7,Sales Hierarchy,Kolkata,West Bengal
298,Barad Agencies,10,WSSTTY2,Sales Hierarchy,Kolkata,West Bengal
299,Chopra Traders,30,WSSTTY9,Sales Hierarchy,Lucknow,Uttar Pradesh
300,Saraf Traders,40,WSSTTY11,Sales Hierarchy,Kolkata,West Bengal
301,Pai Enterprises,10,WSSTTY3,Sales Hierarchy,Ahmedabad,Gujarat
302,Murthy Enterprises,10,WSSTTY1,Sales Hierarchy,Pune,Maharashtra
303,Sarin Agencies,10,WSSTTY1,Sales Hierarchy,Delhi,Delhi
304,Vaidya Traders,10,WSSTTY3,Sales Hierarchy,Bengaluru,Karnataka
305,D’Alia Hardware Store,20,WSSTTY6,MDI Hierarchy,Lucknow,Uttar Pradesh
306,Rajan Building Materials,40,WSSTTY12,MDI Hierarchy,Chennai,Tamil Nadu
307,Gupta Traders,20,WSSTTY4,Sales Hierarchy,Pune,Maharashtra
308,Kumar Enterprises,20,WSSTTY6,Sales Hierarchy,Delhi,Delhi
309,Basu Hardware Store,40,WSSTTY11,Sales Hierarchy,Mumbai,Maharashtra
310,Sarin Traders,30,WSSTTY9,MDI Hierarchy,Chennai,Tamil Nadu
311,Agarwal Agencies,10,WSSTTY3,MDI Hierarchy,Pune,Maharashtra
312,Venkatesh Building Materials,40,WSSTTY11,Sales Hierarchy,Pune,Maharashtra
